4 7.14e-07 2.75e-07 3.45e-07 2.082e-06
8 5.71e-07 4.24e-07 4.68e-07 7.01e-07
16 1.467e-06 6.24e-07 1.154e-06 1.016e-06
32 4.584e-06 1.478e-06 2.708e-06 2.516e-06
64 1.7898e-05 4.094e-06 6.95e-06 5.452e-06
128 7.0239e-05 1.3523e-05 2.298e-05 1.134e-05
256 0.000278389 6.9371e-05 0.000106899 5.8126e-05
512 0.00215759 0.000384115 0.000371186 5.4629e-05
1024 0.00430833 0.00136244 0.0016177 0.000117352
2048 0.0159807 0.00287372 0.00418451 0.000249102
4096 0.068439 0.0111983 0.0151809 0.000500679
8192 0.295363 0.0503249 0.0668362 0.00114622
