10 7.801e-07 3.164e-07 4.55e-07 1.5386e-06 4.206e-07 2.841e-07 5.965e-07
20 2.4217e-06 1.5669e-06 1.2437e-06 3.1929e-06 9.937e-07 7.078e-07 1.2588e-06
30 4.9433e-06 1.284e-06 4.2964e-06 5.3947e-06 1.6304e-06 1.2499e-06 2.0157e-06
40 9.2199e-06 2.0983e-06 3.8056e-06 7.0626e-06 2.2997e-06 2.0493e-06 2.7736e-06
50 1.36415e-05 2.9925e-06 5.2667e-06 9.4908e-06 2.9714e-06 2.9242e-06 3.7616e-06
60 1.97254e-05 4.0576e-06 7.0235e-06 1.11059e-05 3.481e-06 3.5356e-06 4.4563e-06
70 2.56692e-05 6.0598e-06 9.397e-06 1.4668e-05 4.3653e-06 4.4115e-06 5.3558e-06
80 3.15829e-05 6.4213e-06 1.15874e-05 1.5959e-05 5.0474e-06 5.1079e-06 1.18965e-05
90 4.64294e-05 1.47084e-05 2.56017e-05 3.32501e-05 1.13519e-05 5.8029e-06 7.4365e-06
100 4.99298e-05 9.2837e-06 1.69334e-05 1.96205e-05 6.9582e-06 6.7745e-06 8.0504e-06
